cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread
470,0.5455,True,,False,0.0201
471,0.3965,True,,False,0.0047
472,0.5158,True,,False,0.017
473,0.6005,True,0.1073,True,0.0299
474,0.6094,True,,False,0.0653
475,0.3768,True,,False,0.0215
476,0.3856,True,,False,0.0484
477,0.4911,True,0.0866,True,0.0433
478,0.4196,True,,False,0.014
479,0.4878,True,,False,0.0361
480,0.5162,True,,False,0.024
481,0.5827,True,,False,0.0208
482,0.5283,True,,False,0.032
483,0.4608,True,,False,0.0352
484,0.5644,True,,False,0.0018
485,0.7792,True,,False,0.0554
486,0.445,False,,False,
487,0.445,False,,False,
488,0.445,False,,False,
489,0.445,False,,False,
490,0.445,False,,False,
491,0.445,False,,False,
492,0.445,False,,False,
493,0.445,False,,False,
494,0.445,False,,False,
495,0.445,False,,False,
496,0.445,False,,False,
497,0.445,False,,False,
498,0.445,False,,False,
499,0.445,False,,False,
500,0.445,False,,False,
501,0.445,False,,False,
502,0.445,False,,False,
503,0.445,False,,False,
504,0.445,False,,False,
505,0.445,False,,False,
506,0.445,False,,False,
507,0.445,False,,False,
508,0.445,False,,False,
509,0.445,False,,False,
510,0.445,False,,False,
511,0.445,False,,False,
512,0.445,False,,False,
513,0.445,False,,False,
514,0.3446,True,0.0707,True,0.0171
515,0.5805,True,,False,0.0009
516,0.445,False,,False,
517,0.4991,True,,False,0.0321
518,0.3139,True,,False,0.0252
519,0.5686,True,,False,0.0077
520,0.4252,True,,False,0.0665
521,0.4679,True,,False,0.0338
522,0.6117,True,0.1509,True,0.014
523,0.4228,True,,False,0.0534
524,0.573,True,0.1614,True,0.0154
525,0.4102,True,0.0755,True,0.0078
526,0.4994,True,0.1353,True,0.0183
527,0.5797,True,,False,0.0333
528,0.3276,True,,False,0.0174
529,0.4677,True,,False,0.0123
530,0.5557,True,,False,0.009
531,0.2633,True,0.0293,True,0.0002
532,0.683,True,,False,0.019
533,0.3033,True,,False,0.0203
534,0.4308,True,,False,0.0017
535,0.5815,True,,False,0.0397
536,0.3263,True,,False,0.0029
537,0.395,True,,False,0.0185
538,0.4408,True,0.1572,True,0.0131
539,0.3202,True,,False,0.0008
540,0.5774,True,0.1133,True,0.0044
541,0.5657,True,,False,0.0093
542,0.4429,True,,False,0.0294
543,0.5799,True,0.1221,True,0.052
544,0.508,True,,False,0.0092
545,0.4371,True,,False,0.0143
546,0.4036,True,,False,0.0457
547,0.5751,True,0.1082,True,0.0106
548,0.5269,True,,False,0.0127
549,0.7274,True,0.2225,True,0.0696
550,0.5851,True,,False,0.0332
551,0.5804,True,0.1161,True,0.0088
552,0.6669,True,,False,0.0186
553,0.6526,True,0.212,True,0.0155
554,0.5369,True,0.11,True,0.004
555,0.4267,True,0.1871,True,0.0206
556,0.4143,True,0.0722,True,0.0032
557,0.4318,True,,False,0.0207
558,0.4981,True,,False,0.0041
559,0.6016,True,,False,0.0028
560,0.5584,True,,False,0.031
561,0.677,True,0.1074,True,0.0095
562,0.4464,True,,False,0.0632
563,0.4985,True,,False,0.0441
564,0.3146,True,,False,0.0081
